Code,LatitudeOrig,LongitudeOrig,Shift,LatitudeShifted,LongitudeShifted,Name,Address,Q3,Q6_1,Q6_2,Q6_3,Q6_4,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q12_1,Q12_2,Q12_3,Q12_4,Q13_1,Q13_2,Q13_3,Q13_4,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q15_3,Q15_4,Q16_1,Q16_2,Q16_3,Q16_4,Q17_1,Q17_2,Q17_3,Q17_4,Q19_1,Q19_2,Q19_3,Q19_4,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Q34_7,Q35,Q36,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q39
31R010,40.63971,-74.079576,0,40.63971,-74.079576,Fort Hill Collaborative Elementary School,80 MONROE AVE,4,0,1,0,0,0,1,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0
31R011,40.590781,-74.097889,0,40.590781,-74.097889,P.S. 11 Thomas Dongan School,50 JEFFERSON ST,2,0,0,0,0,20,20,1,20,0,60,60,60,60,180,180,180,180,150,150,150,150,150,150,150,150,200,200,200,200,150,150,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,3,7,4,25,10,25,7,1
31R013,40.612944,-74.069208,0,40.612944,-74.069208,P.S. 013 M. L. Lindemeyer,191 VERMONT AVE,2,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,3,16,3,12,0,23,0,0
31R016,40.63971,-74.079576,1,40.63971,-74.079376,P.S. 016 John J. Driscoll,80 MONROE AVE,2,0,0,0,0,0,1,0,9,0,0,0,2250,0,0,0,2250,0,0,0,5250,0,0,0,750,0,0,0,750,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,2,1,4,2,3,7,0,0
31R018,40.636716,-74.117114,0,40.636716,-74.117114,P.S. 018 John G. Whittier,221 BROADWAY,2,0,0,0,0,0,1,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,8,0,20,0,0,0
31R019,40.630563,-74.126888,0,40.630563,-74.126888,P.S. 019 The Curtis School,780 POST AVE,4,0,0,0,0,0,1,2,1,2,0,0,0,20,0,0,65,0,0,0,52,0,0,0,70,0,0,0,78,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,1,0,0,0,3,0,0
31R020,40.636665,-74.132529,0,40.636665,-74.132529,P.S. 020 Port Richmond,161 PARK AVE,2,0,0,0,0,2,2,24,23,0,0,0,0,6,0,0,0,32,0,0,15,12,0,0,75,10,0,0,0,8,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,9,0,4,3,8,0,0
31R021,40.631831,-74.146747,0,40.631831,-74.146747,P.S. 21 Margaret Emery-Elm Park,168 HOOKER PL,2,0,1,1,1,0,18,19,19,1,0,75,75,75,0,300,0,0,0,225,225,225,0,225,0,0,0,300,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,3,0,5,1,10,4,0,1
31R023,40.570621,-74.133814,0,40.570621,-74.133814,P.S. 023 Richmondtown,30 NATICK ST,2,0,1,0,0,1,1,1,1,1,0,0,0,8,0,0,0,32,0,0,0,32,0,0,0,32,0,0,0,32,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,8,7,7,6,7,0,0
31R024,40.545621,-74.145508,0,40.545621,-74.145508,I.S. 024 Myra S. Barnes,225 CLEVELAND AVE,2,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,1,1,1,1,0,517,250,247,274,1,1,1,1,0,1,1,3,3,3,3,0,5,3,0,1
31R026,40.59156,-74.190234,0,40.59156,-74.190234,P.S. 026 The Carteret School,4108 VICTORY BLVD,2,0,0,0,0,0,1,3,3,0,0,0,0,20,0,0,0,40,0,60,0,0,0,100,140,0,0,50,70,0,0,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,2,3,1,0,15,0,1
31R027,40.628282,-74.117665,0,40.628282,-74.117665,I.S. 027 Anning S. Prall,11 CLOVE LAKE PL,2,0,0,0,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,69,47,0,0,0,1,0,0,0,1,0,3,3,1,3,2,5,6,0,0
31R029,40.613957,-74.116242,0,40.613957,-74.116242,P.S. 029 Bardwell,1581 VICTORY BLVD,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,10,10,20,10,0,10,0,10,0,10,0,12,0,12,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,3,3,9,2,5,21,0,0
31R030,40.618019,-74.133034,0,40.618019,-74.133034,P.S. 030 Westerleigh,200 WARDWELL AVE,4,0,1,0,1,0,1,0,1,0,1,0,3,2,6,0,0,12,6,0,0,18,6,0,0,6,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,4,2,0,4,0,0
31R031,40.641969,-74.085178,0,40.641969,-74.085178,P.S. 031 William T. Davis,55 LAYTON AVE,4,0,0,0,0,0,1,1,1,0,2,2,2,36,6,6,6,0,10,10,2,32,8,8,53,16,10,16,8,63,20,8,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,2,4,4,2,3,0,0
31R032,40.55896,-74.155409,0,40.55896,-74.155409,P.S. 032 The Gifford School,232 BARLOW AVE,2,0,1,1,1,0,1,0,1,0,20,20,60,30,80,80,240,80,80,80,240,80,100,300,300,100,100,300,300,100,80,240,240,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,4,0,6,0,1
31R034,40.508401,-74.242961,0,40.508401,-74.242961,I.S. 034 Tottenville,528 ACADEMY AVE,2,0,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,1,1,1,0,100,100,100,100,0,1,0,0,0,0,0,0,2,2,1,7,1,0,6,1,0
31R035,40.613578,-74.098959,0,40.613578,-74.098959,P.S. 35 The Clove Valley School,60 FOOTE AVE,3,0,1,0,1,0,1,1,15,0,0,0,15,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,7,1,3,4,8,0,1
31R036,40.543082,-74.182804,0,40.543082,-74.182804,P.S. 036 J. C. Drumgoole,255 IONIA AVE,2,0,0,0,0,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,50,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,3,8,16,9,0,30,0,0
31R038,40.574938,-74.099425,0,40.574938,-74.099425,P.S. 038 George Cromwell,421 LINCOLN AVE,2,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,8,0,6,8,5,0,1
31R039,40.59787,-74.070172,0,40.59787,-74.070172,P.S. 39 Francis J. Murphy Jr.,71 SAND LANE,2,0,0,0,0,1,1,1,2,1,0,0,0,10,0,0,0,120,0,0,120,120,0,0,0,120,0,0,0,150,120,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,2,2,1,0,4,0,1
31R041,40.573849,-74.108939,0,40.573849,-74.108939,The Stephanie A. Vierno School,216 CLAWSON ST,2,0,0,0,0,16,1,0,2,0,2,1,0,1,10,5,0,2,10,5,2,1,10,5,0,0,0,0,20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,3,5,2,0,5,5,1,0
